nama,alamat,nama_bangunan,nama_jalan,rt,rw,kelurahan,kecamatan,kota,kode_pos,telepon,fax,selular,ukuran_usaha,kategori_usaha,kegiatan_usaha,jenis_usaha,siup,npwp
"A2 SOLUTIONS, PT","Jl. Balai Rakyat No. 66, RT005/001, Cakung Timur, Cakung, Jakarta Timur",,Jl. Balai Rakyat No. 66,005,001,Cakung Timur,Cakung,Jakarta Timur,,(021) 94304763,(021) 94304763,,Usaha Menengah ,Perdagangan,"Perdagangan alat telekomunikasi/ alat teknik, meka",PT,DEP.PERINDAG (SIUP) NOMOR : 5657/13 - 1.824,02.906.494.6-006.000
"AA ABADI, CV","Jl. Pisangan Baru Tengah No. 14, RT002/014, Pisangan Baru, Matraman, Jakarta Timur",,Jl. Pisangan Baru Tengah No. 14,002,014,Pisangan Baru,Matraman,Jakarta Timur,,(021) 8507933 / 8507286,(021) 8507933 / 8507286,,Usaha Kecil ,Perdagangan,"Perdagangan barang cetakan/ alat teknik, mekanikal",CV,DEP.PERINDAG (SIUP) NOMOR : 5085/13 - 1.824,02.835.437.1-001.000
"AA INTERNASIONAL COMPANY, PT","Gd. Perkantoran Pulo Mas Satu Gd. II lt. 4 R. 10a, Jl. Jend A. Yani No. 2, Kayu Putih, Pulo Gadung, Jakarta Timur",Gd. Perkantoran Pulo Mas Satu Gd. II lt. 4 R. 10a,Jl. Jend A. Yani No. 2,,,Kayu Putih,Pulo Gadung,Jakarta Timur,,(021) 47869365,(021) 47869365,,,Perdagangan,"Perdagangan alat konstruksi / alat teknik, mekanik",PT,DEP.PERINDAG (SIUP) NOMOR : 2285/13 - 1.824,21.124.434.8-003.000
"AB AUTOMATION, PT","Jl. Boulevard Artha Gading Blok B No. 28, Kelapa Gading, Jakarta Utara",,Jl. Boulevard Artha Gading Blok B No. 28,,,,Kelapa Gading,Jakarta Utara,,45874128,45874127,,Usaha Menengah ,Perdagangan,"Perdagangan besar mesin-mesin, suku cadang",PT,"DINAS KOP, UMKM DAN PERDAGANGAN DKI JKT NO. 02611/","02,694,868,7-043,000"
"AB GLOBAL CHEMICAL, CV","Jl. Bukit Gading Indah Blok O Kav. No. 11, Kelapa Gading, Jakarta Utara",,Jl. Bukit Gading Indah Blok O Kav. No. 11,,,,Kelapa Gading,Jakarta Utara,,4530087,4530087,,Usaha Kecil ,Perdagangan,Perdagangan besar barang-barang kimia,CV,"SUDIN KOP, UMKM DAN PERDAGANGAN JAKUT NOMOR 1593/1","02,983,045,2-043,000"
"ABAD METRO REALTY, PT","Jl. Tenggiri No. 4d, RT001/006, Jati, Pulo Gadung, Jakarta Timur",,Jl. Tenggiri No. 4d,001,006,Jati,Pulo Gadung,Jakarta Timur,,"(021) 93330027, 4224490","(021) 93330027, 4224490",,Usaha Kecil ,Perdagangan,"Perdagangan alat tulis kantor, barang cetakan",PT,DEP.PERINDAG (SIUP) NOMOR : 4365/13 - 1.824,21.143.672.0-003.000
ABADI JAYA KENCANA,"Jl. Raya Meruya Ilir No. 88, RT001/005, Kembangan, Jakarta Barat",,Jl. Raya Meruya Ilir No. 88,001,005,,Kembangan,Jakarta Barat,,021 58908188,021 58908181,,Usaha Menengah ,Perdagangan,"Hasil pertanian / perkebunan, alat tulis kantor /",PT,SIUP : NOMOR : 3164 / 1. 824. 221 / 0509,02.188.510.8-086.000
ABADI KREASI GEMILANG PT,"Jl. Duri Kosambi Raya No. 68, Cengkareng, Jakarta Barat",,Jl. Duri Kosambi Raya No. 68,,,,Cengkareng,Jakarta Barat,,021 5418509,,,Usaha Menengah ,Perdagangan,"Sub. distributor barang elektronik, alat teknik /",PT,SIUP NOMOR : 00156 - 03 / PK / 1.824.271,
"ABADI LAJU SEJAHTERA, PT","Jl. Taman Aries Blok A 1 No. 2 D, Kembangan, Jakarta Barat",,Jl. Taman Aries Blok A 1 No. 2 D,,,,Kembangan,Jakarta Barat,,021 5891069,,,Usaha Menengah ,Perdagangan,"Sub. distributor, ekspor - impor alat navigasi /",PT,DEPDAG SIUP ; NOMOR : 0210 / 1. 824. 221 / 0210,02.963.832.7-086.000
"ABADI MASTERINDO EKA NUSA , CV",Komplek Ruko Taman Cosmos Blok C No.30,Komplek Ruko Taman Cosmos Blok C No.30,,,,,Kebon Jeruk,Jakarta Barat,11520,021 32480665,,,Usaha Kecil ,Perdagangan,"Barang cetakan, mesin-mesin dan suku cadang",CV,NOMOR : /1. 824. 221/0209,02.751.277.1-039.000
"ABADI MEGAH SEJATI, PT",Komplek Perkantoran Kencana Niaga Taman Aries Blok D 1 / 3,Komplek Perkantoran Kencana Niaga Taman Aries Blok D 1 / 3,,,,,Kembangan,Jakarta Barat,,021 5858877,021 5858334,,Usaha Menengah ,Perdagangan,"Sub. distributor hasil pertambangan (batu bara),",PT,SIUP : NOMOR : 0014 / 1. 824. 221 / 0110,02.485.083.6-086.000
"ABADI MITRATAMA, PT","Jl. Ee No. 41, RT005/004, Cengkareng, Jakarta Barat",,Jl. Ee No. 41,005,004,,Cengkareng,Jakarta Barat,,021 54370921,,,Usaha Kecil ,Perdagangan,Sub. distributor. elektrikal / mekanikal / telekom,,SIUP : NOMOR : 5036 / 1. 824. 221 / 0809,02.589.712.5-034.000
"ABADI MOTOR, PT","Jl. Palmerah Utara No. 6, Jakarta Barat 11480",,Jl. Palmerah Utara No. 6,,,,,Jakarta Barat,11480,021 5890422,,,Usaha Kecil ,,Penjualan sepeda motor,,"KOTA JAKARTA BARAT/TATI BUDIARTI, SE, MM(NIP. 0700",02.899.724.5-031.000
"ABADI MULYA KENCANA , CV","Jl. Sulaeman No. 2 A, RT002/003, Kebon Jeruk, Jakarta Barat 11540",,Jl. Sulaeman No. 2 A,002,003,,Kebon Jeruk,Jakarta Barat,11540,021 70622198,,,Usaha Kecil ,Perdagangan,"Alat tulis kantor / barang cetakan, alat teknik /",CV,NOMOR : 4567 / 1. 824. 221 / 0609,02.745.368.7-035.000
"ABADI SUMBER REJEKI, PT","Jl. Tanjung Duren Raya No. 542, RT001/005, Grogol Petamburan, Jakarta Barat",,Jl. Tanjung Duren Raya No. 542,001,005,,Grogol Petamburan,Jakarta Barat,,021 56969999,021 30045858,,Usaha Menengah ,Perdagangan,"Sub. distributor hasil petambangan (batu bara),",PT,SIUP ; NOMOR : 0445 / 1. 824. 221 / 0310,31.161.579.3-036.000
"ABADI ADAM, CV","Jl. Raya Ciracas No. 23, RT004/003, Ciracas, Ciracas, Jakarta Timur",,Jl. Raya Ciracas No. 23,004,003,Ciracas,Ciracas,Jakarta Timur,,(021) 8707601,(021) 8707601,,Usaha Kecil ,Perdagangan,"Perdagangan alat tulis kantor, barang cetakan",CV,DEP.PERINDAG (SIUP) NOMOR : 5857/13 - 1.824,03.079.002.6-009.000
"ABADI GUNA, CV","Jl. Cemara No. 8, RT002/007, Kayu Putih, Pulo Gadung, Jakarta Timur",,Jl. Cemara No. 8,002,007,Kayu Putih,Pulo Gadung,Jakarta Timur,,021-91678620,021-91678620,,Usaha Kecil ,Perdagangan,"Perdagangan alat tulis kantor / mekanikal, elektri",CV,DEP.PERINDAG (SIUP) NOMOR : 2226/13 - 1.824,02.703.073.3-003.000
"ABADI JAYA ALUMINIUM, PT","Jl. Raya Kalimalang No. C. 6, RT007/012, Pondok Bambu, Duren Sawit, Jakarta Timur",,Jl. Raya Kalimalang No. C. 6,007,012,Pondok Bambu,Duren Sawit,Jakarta Timur,,(021) 8613975,(021) 8613975,,Usaha Menengah ,Perdagangan,"Perdagangan alat mekanikal, elektrikal/ furniture/",PT,DEP.PERINDAG (SIUP) NOMOR : 3392/13 - 1.824,03.014.745.8-008.000
"ABADI JAYA, UD","Jl. Pos Duri Los 11, RT017/006, Gambir, Jakarta Pusat",,Jl. Pos Duri Los 11,017,006,,Gambir,Jakarta Pusat,,021-63865582,021-63865582,,Usaha Mikro ,Kerajinan,Pengrajin kusen,PERORANGAN,,
ABADI KREASI UTAMA PT,Citra I Blok I. 5 No.7,Citra I Blok I. 5 No.7,,,,,Kalideres,Jakarta Barat,,021 5404426,,,Usaha Menengah ,Jasa,Jasa konsultan manajemen bidang sumber daya manusi,,DEPDAG SIUP : NOMOR : 3111 /1. 824. 221/0509,02.750.384.6-085.000
"ABADI MAKMUR INTERNATIONAL, PT","Jl. K.H. M. Mansyur No. 23, RT002/002, Tambora, Jakarta Barat",,Jl. K.H. M. Mansyur No. 23,002,002,,Tambora,Jakarta Barat,,021 68843477,,,Usaha Kecil ,Perdagangan,"Sub. distributor bahan baku makanan dan minuman,",PT,SIUP ; NOMOR : 00257 - 03 / PK / 1.824.271,
ABADI PHOTO SUTISNA,"Jl. Satu Maret, Jakarta Barat",,Jl. Satu Maret,,,,,Jakarta Barat,,,,,Usaha Mikro ,Jasa,Photo studio dan cuci cetak,PERORANGAN,,
"ABADI PUTRA SEJAHTERA, CV","Jl. Malaka I No. 7, Jakarta Utara",,Jl. Malaka I No. 7,,,,,Jakarta Utara,,448851378,,,Usaha Kecil ,,Kerajinan tangan/kerajinan emas jangkauan pemasara,,PERIZINAN : LENGKAP,
ABADI SERVICE,"Jl. Tanjung Duren Raya No. 8, Jakarta Barat",,Jl. Tanjung Duren Raya No. 8,,,,,Jakarta Barat,,,,,Usaha Mikro ,Jasa,Servis elektronik,PERORANGAN,,
"ABADI SETIA PRIMA, PT","Jl. Cipinang Muara No. 267, RT010/001, Cipinang Muara, Jatinegara, Jakarta Timur",,Jl. Cipinang Muara No. 267,010,001,Cipinang Muara,Jatinegara,Jakarta Timur,,(021) 63850823,(021) 63861660,,Usaha Kecil ,Perdagangan,"Perdagangan alat mekanikal, elektrikal/ alat telek",PT,DEP.PERINDAG (SIUP) NOMOR : 00869-05/PK/P1/,
"ABADI SURYA, UD","Jl. Pos Duri, RT017/005, Duri Pulo, Gambir, Jakarta Pusat",,Jl. Pos Duri,017,005,Duri Pulo,Gambir,Jakarta Pusat,,,,,Usaha Mikro ,Kerajinan,Pengrajin kusen,PERORANGAN,,
"ABADI, CV",Ps. Perumnas Klender Blos B.III / 83,Ps. Perumnas Klender Blos B.III / 83,,,,Malaka Sari,Duren Sawit,Jakarta Timur,,(021) 96866699,(021) 96866699,,Usaha Kecil ,Perdagangan,Perdagangan kebutuhan pokok sehari ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½_x0080__x0093_ hari (bukan r,CV,DEP.PERINDAG (SIUP) NOMOR : 3890/13 - 1.824,02.901.137.6-008.000
ABAY CELLULAR,"Jl. Bangka 2 No. 40, Jakarta Selatan",,Jl. Bangka 2 No. 40,,,,,Jakarta Selatan,,70667433,,,Usaha Mikro ,Perdagangan,Dagang voucher hp,PERORANGAN,,
"ABBATRENT ENGINEERING, PT","Jl. Rawamangun Muka Iv, RT011/014, Rawamangun, Pulo Gadung, Jakarta Timur",,Jl. Rawamangun Muka Iv,011,014,Rawamangun,Pulo Gadung,Jakarta Timur,,(021) 85913272,(021) 85913272,,Usaha Menengah ,Jasa,"Alat konstruksi / alat mekanikal, elektrikal",PT,DEP.PERINDAG (SIUP) NOMOR : 2221/P/13 - 1.8,02.245.883.0-003.000
"ABDI PERDANA EXPRESS, PT",Komplek Pertambangan I No.35,Komplek Pertambangan I No.35,,004,005,,Kebon Jeruk,Jakarta Barat,,021 5363721,021 5363721,,Usaha Menengah ,Jasa,Jasa penunjang angkutan lainnya (penanganan kargo),PT,SIUP : NOMOR : 00302 - 03 / PK / 1.824.271,
"ABDI AGUNG PATRIA UTAMA, PT","Jl. Jend. A. Yani No. 41, RT004/004, Utan Kayu Selatan, Matraman, Jakarta Timur",,Jl. Jend. A. Yani No. 41,004,004,Utan Kayu Selatan,Matraman,Jakarta Timur,,(021) 8507169 / 8563336,(021) 8507169 / 8563336,,Usaha Menengah ,Perdagangan,Perdagangan barang cetakan atau perabot rumah tangga,PT,DEP.PERINDAG (SIUP) NOMOR : 4433/P/13 - 1.8,01.393.292.6-001.000
"ABDI KARYA MULIA, CV","Jl. Raya Tengah No. 39, RT003/012, Gedong, Pasar Rebo, Jakarta Timur",,Jl. Raya Tengah No. 39,003,012,Gedong,Pasar Rebo,Jakarta Timur,,(021) 32423003,(021) 32423003,,Usaha Kecil ,Perdagangan,"Perdagangan alat tulis kantor, barang cetakan",CV,DEP.PERINDAG (SIUP) NOMOR : 4852/13 - 1.824,01.867.536.3-009.000
"ABDI KARYA SEJATI, PD","Jl. P. Tubagus Angke No. 170 Ruko Permata Kota Blok G No. 05, RT010/001, Penjaringan, Jakarta Utara",,Jl. P. Tubagus Angke No. 170 Ruko Permata Kota Blok G No. 05,010,001,,Penjaringan,Jakarta Utara,,021 66696536,021 66696536,,Usaha Kecil ,Perdagangan,Eceran barang elektronik,PERORANGAN,SUDIN KOP. UMKM DAN PERDAGANGAN JAKUT,58.519.280.0-041.000
ABDI MOTOR,Pasar Inpres Duren Sawit,Pasar Inpres Duren Sawit,,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,Jasa servicekaca spion,PERORANGAN,,
"ABDI PUTRA PERSADA, CV","Jl. Pertengahan No. 28, RT003/007, Cijantung, Pasar Rebo, Jakarta Timur",,Jl. Pertengahan No. 28,003,007,Cijantung,Pasar Rebo,Jakarta Timur,,(021) 87798483,(021) 87798483,,Usaha Kecil ,Perdagangan,"Perdagangan alat tulis kantor, barang cetakan",CV,DEP.PERINDAG (SIUP) NOMOR : 5710/P/13 - 1.8,02.463.714.2-009.000
"ABDI ZAHARA INDONESIA, PT","Jl. Persada I No. 7a, RT004/005, Menteng Dalam, Setiabudi, Jakarta Selatan",,Jl. Persada I No. 7a,004,005,Menteng Dalam,Setiabudi,Jakarta Selatan,,8307864,,,Usaha Menengah ,Jasa / Produksi Lainnya,Perdagangan besar lainnya,PT,DEP. PERINDAG: SIUP NO. 000420/1.824.51,"21,459,458,0,15"
ABDILLAH KARYA,"Jl. Swadarma Raya, Jakarta Barat",,Jl. Swadarma Raya,,,,,Jakarta Barat,,,,,Usaha Mikro ,Perdagangan,"Dagang kusen, jendela, pintu dan daun pintu",PERORANGAN,,
"ABDU ICA ALIA, CV","Jl. Lodan Raya No. 2 Komp.Lodan Center, Pademangan, Jakarta Utara",,Jl. Lodan Raya No. 2 Komp.Lodan Center,,,,Pademangan,Jakarta Utara,,6919609,,,Usaha Kecil ,Perdagangan,"Perdagangan besar bahan bakar gas, cair dan padat",CV,SUDIN KOP. UMKM DAN PERDAGANGAN JAKUT NOMOR 1178/1,"02,617,127,2-044,000"
ABDUL WAHAB,"Jl. Kramat Pulo, RT008/006, Kramat, Senen, Jakarta Pusat",,Jl. Kramat Pulo,008,006,Kramat,Senen,Jakarta Pusat,,021-31900288,021-31900288,,Usaha Mikro ,Home Industri,,PERORANGAN,,
"ABDULLAH CAHYA MANDIRI , CV","Jl. Kota Bambu Utara I No. 2, RT008/003, Palmerah, Jakarta Barat 11420",,Jl. Kota Bambu Utara I No. 2,008,003,,Palmerah,Jakarta Barat,11420,021 5661092,,,Usaha Kecil ,Perdagangan,"Pakaian jadi / tekstil, furniture",CV,NOMOR : 00013 - 03 / PK / P / 1.824.271,
"ABDUSSYAKUR, PD",Kp.Sukapura No.107,Kp.Sukapura No.107,,004,004,,Cilincing,Jakarta Utara,,98172392,98172392,,Usaha Kecil ,Perdagangan,Perdagangan eceran berbagai macam barang,PERORANGAN,"SUDIN KOP, UMKM DAN PERDAGANGAN JAKUT NOMOR 1077/1",24.010.115.4-045.000
"ABEL GLOBAL INTERNATIONAL, PT","Daan Mogot Baru, Jl. Tampak Siring Blok Kjd No. 12-a 14, Kalideres, Jakarta Barat",Daan Mogot Baru,Jl. Tampak Siring Blok Kjd No. 12-a 14,,,,Kalideres,Jakarta Barat,,021 5448505,,,Usaha Menengah ,Perdagangan,Sub. distributor alat tehnik / mekanikal / ele,PT,SIUP : NOMOR : /1. 824. 221/020,01.806.557.3-085.000
"ABHIMATA MANUNGGAL, PT","Jl. Perniagaan Timur No. 27, RT005/001, Tambora, Jakarta Barat",,Jl. Perniagaan Timur No. 27,005,001,,Tambora,Jakarta Barat,,021 6912049,021 6928159,,Usaha Menengah ,Perdagangan,"Penyalur, ekspor - impor : elektronik, alat keseh",PT,SIUP : NOMOR : 3231 / 1. 824. 221 / 0609,01.871.024.4-038.000
"ABHIMATA ANUGRAH ABADI, PT","Menara Batavia lt. 5, Jl. Kh.Mas Mansyur Kav. 126, Tanah Abang, Jakarta Pusat",Menara Batavia lt. 5,Jl. Kh.Mas Mansyur Kav. 126,,,,Tanah Abang,Jakarta Pusat,,021-57930190,021-57930190,,Usaha Kecil ,Perdagangan,"Mesin-mesin, suku cadang dan perlengkapannya",PT,DEP.PERINDAG,02.930.324.5.022.000
"ABHISTA ADLIYAN, PT","Jl. Kelapa Dua Raya No. 3 B, RT002/001, Kebon Jeruk, Jakarta Barat",,Jl. Kelapa Dua Raya No. 3 B,002,001,,Kebon Jeruk,Jakarta Barat,,021 70776882,,,Usaha Kecil ,Jasa / Produksi Lainnya,"Alat tulis kantor / perlengkapan kantor, - kompu",PT,SIUP : NOMOR : /1. 824. 221/03,02.341.900.5-035.000
"ABHIYASA PRIMA, PT","Jl. Cempaka Putih Tengah II No. 1 C, Cempaka Putih, Jakarta Pusat",,Jl. Cempaka Putih Tengah II No. 1 C,,,,Cempaka Putih,Jakarta Pusat,,4214051,4216374,,Usaha Kecil ,Perdagangan,"Perdagangan besar bahan bakar gas, cair dan padat",PT,DEP.PERINDAG (SIUP) NO.04946/182451,02.458.789.1.024.000
"ABI MULTITAMA , CV","Jl. Jelambar Barat III No. 1, RT006/010, Grogol Petamburan, Jakarta Barat 11460",,Jl. Jelambar Barat III No. 1,006,010,,Grogol Petamburan,Jakarta Barat,11460,021 68678681,,,Usaha Kecil ,Perdagangan,"Obat jadi (tanpa resep dokter), alat tulis kantor,",CV,NOMOR : 0492 / 1. 824. 221 / 0310,31.160.751.9-036.000
"ABIDANA MITRA MANDIRI, PT","Jl. Martaguna Raya Plaza 5 Blok B-02 Gandaria Utara, Kebayoran Baru, Jakarta Selatan",,Jl. Martaguna Raya Plaza 5 Blok B-02 Gandaria Utara,,,,Kebayoran Baru,Jakarta Selatan,,7246835,,,Usaha Kecil ,Perdagangan,"Perdagangan besar mesin-mesin, suku cadang dan per",PT,"DEP. PERINDAG: SIUP, NO.1245/0904/PM/XI/2002","18,407,560,1,9"
"ABIF JAYA MANDIRI, CV","Jl. Inpres No. 11, RT005/009, Tengah, Kramat Jati, Jakarta Timur",,Jl. Inpres No. 11,005,009,Tengah,Kramat Jati,Jakarta Timur,,"(021) 8779178, 91037194","(021) 8779178, 91037194",,Usaha Kecil ,Jasa,Jasa administrasi (pengurusan dokumen),CV,DEP.PERINDAG (SIUP) NOMOR : 4600/13 - 1.824,02.995.338.7-005.000
"ABIMANYU, PT","Jl. Pagelarang No. 101, Setu, Cipayung, Jakarta Timur",,Jl. Pagelarang No. 101,,,Setu,Cipayung,Jakarta Timur,,(021) 84991323,,,Usaha Menengah ,Perdagangan,"Perdagangan alat teknik, mekanikal, elektrikal",PT,DEP.PERINDAG (SIUP) NOMOR : 00399-05/PM/1.8,
"ABIR KREASI UTAMA, PT","Jl. Balai Rakyat No. 20, RT011/009, Klender, Duren Sawit, Jakarta Timur",,Jl. Balai Rakyat No. 20,011,009,Klender,Duren Sawit,Jakarta Timur,,021 86612748,021 86612748,,Usaha Menengah ,Perdagangan,"Perdagangan alat tulis kantor, alat mekanikal dan elektronik",PT,DEP.PERINDAG (SIUP) NOMOR : 3801/P/13 - 1.8,01.817.156.1-008.000
"ABIRAWA, PT","Jl. Raya Depnaker No. 80, RT018/001, Pinang Ranti, Makassar, Jakarta Timur",,Jl. Raya Depnaker No. 80,018,001,Pinang Ranti,Makassar,Jakarta Timur,,(021) 80874500,,,Usaha Menengah ,Perdagangan,Perdagangan hasil pertambangan padat dan cair,PT,DEP.PERINDAG (SIUP) NOMOR : 00946-05/PK/P1/,02.463.800.9-005.000
"ABISIS, PT",,,,,,,Kebon Jeruk,Jakarta Barat,,021 5802035,,,,Jasa / Produksi Lainnya,Alat tehnik / mekanikal / elektrikal / -telekomuni,PT,SIUP : NOMOR : /1. 824. 221/020,02.751.290.4-039.000
"ABITRACO MANDIRI, PT","Jl. Bhineka I No. 33, RT007/009, Cipinang Cempedak, Jatinegara, Jakarta Timur",,Jl. Bhineka I No. 33,007,009,Cipinang Cempedak,Jatinegara,Jakarta Timur,,(021) 8198377,(021) 8520330,,Usaha Kecil ,Perdagangan,"Perdagangan tas kulit, pakaian jadi (bukan produks",PT,DEP.PERINDAG (SIUP) NOMOR : 00385-05/MK/P1/,
"ABIYA JAYA ABADI , CV","Jl. Tanjung Duren Utara I No. 20, Grogol Petamburan, Jakarta Barat 11470",,Jl. Tanjung Duren Utara I No. 20,,,,Grogol Petamburan,Jakarta Barat,11470,021 5630196,,,Usaha Kecil ,Perdagangan,Alat teknik / mekanikal / elektrikal dan suku ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½_x0080__x0093_cad,CV,NOMOR : 0643 / 1. 824. 221 / 0410,31.171.356.4-036.000
"ABNA\'USSABIL INTERNATIONAL, PT",,,,,,,Cakung,Jakarta Timur,,(021) 46827893,(021) 46827481,,Usaha Menengah ,Perdagangan,"Perdagangan alat tulis kantor, barang cetakan",PT,DEP.PERINDAG (SIUP) NOMOR : 00023-05/PM/1.8,
"ABROORO HAYA, PT","Jl. Tipar No. 20 A, RT007/007, Pekayon, Pasar Rebo, Jakarta Timur",,Jl. Tipar No. 20 A,007,007,Pekayon,Pasar Rebo,Jakarta Timur,,021 87711244,021 87711244,,Usaha Menengah ,Perdagangan,Perdagangan alat konstruksi / perabot rumah tangga,PT,DEP.PERINDAG (SIUP) NOMOR : 1751/13 - 1.824,02.613.471.8-009.000
"ABSOLUT TIGA SELARAS, PT","Jl. Raya Duri Kosambi No. 50, RT006/001, Cengkareng, Jakarta Barat",,Jl. Raya Duri Kosambi No. 50,006,001,,Cengkareng,Jakarta Barat,,021 50390801,,,Usaha Menengah ,Jasa / Produksi Lainnya,"Supply komputer, jasa konsultasi bisnis dan manaje",PT,SIUP : NOMOR : 00439 - 03 / PK / 1.824.271,
"ABY PERSADA TECHNIKATAMA, PT","Jl. Cipinang Baru No. 36, RT009/001, Cipinang, Pulo Gadung, Jakarta Timur",,Jl. Cipinang Baru No. 36,009,001,Cipinang,Pulo Gadung,Jakarta Timur,,(021) 47861175,(021) 47861175,,Usaha Kecil ,Perdagangan,"Perdagangan alat mekanikal, elektrikal",PT,DEP.PERINDAG (SIUP) NOMOR : 3750/P/13 - 1.8,01.989.322.1-003.000
"ABYAN MANDIRI, CV","Jl. Kayu Manis Timur No. 11, RT001/011, Utan Kayu Selatan, Matraman, Jakarta Timur",,Jl. Kayu Manis Timur No. 11,001,011,Utan Kayu Selatan,Matraman,Jakarta Timur,,(021) 8503631,,,Usaha Kecil ,Perdagangan,Perdagangan alat tulis kantor/ perabot rumah tangg,CV,DEP.PERINDAG (SIUP) NOMOR : 01277-05/PK/1.8,
"ABYTA PUTRA MAHESA, PT","Jl. Raya Jatinegara Barat Iv/ 15, RT003/003, Bali Mester, Jatinegara, Jakarta Timur",,Jl. Raya Jatinegara Barat Iv/ 15,003,003,Bali Mester,Jatinegara,Jakarta Timur,,(021) 85904028,,,Usaha Kecil ,Perdagangan,"Perdagangan alat tulis kantor, barang cetakan",PT,DEP.PERINDAG (SIUP) NOMOR : 00905-05/PK/1.8,
ACCESORIES FURNITURE AGUS SALIM,"Jl. Jelambar Barat II C No. 10, Jakarta Barat",,Jl. Jelambar Barat II C No. 10,,,,,Jakarta Barat,,0215647435,,,Usaha Mikro ,Jasa / Produksi Lainnya,,PERORANGAN,,
ACCESORIES ZAKI,Jakarta Gems Center Rawa Bening No. Tu. Bks 063 lt. 1,Jakarta Gems Center Rawa Bening No. Tu. Bks 063 lt. 1,,,,,,Jakarta Timur,13350,(021) 99912338,,,Usaha Mikro ,,"Hasil kerajinan, aksesoris",,KEPALA DINAS KUKM DAN PERDAGANGAN PROV. DKI JAKART,
