No.,Nama & Alamat,Kegiatan Usaha,Badan Hukum
16,"*ABAD METRO REALTY, PT*
Jl. tenggiri no. 4d rt. 001/006 kel. jati kec. pulo gadung jakarta timur 
13220
Kec. pulo gadung
Jakarta Timur -
Ph:(021) 93330027, 4224490 / Fax:(021) 93330027, 4224490 / Hp:","Usaha Kecil (Perdagangan) 
Perdagangan alat tulis kantor, barang cetakan","P.T. (Perseroan Terbatas)
Siup: DEP.PERINDAG (SIUP) NOMOR : 4365/13 1.824
NPWP: 21.143.672.0-003.000"
17,"*ABADI JAYA KENCANA*
Kencana tower lt.10 , komplek perkantoran business park kebon jeruk, jl. 
raya meruya ilir no.88 , rt.001/005
Kec. kembangan
Jakarta Barat -
Ph:021 58908188 / Fax:021 58908181 / Hp:","Usaha Menengah (Perdagangan) 
Hasil pertanian / perkebunan, alat tulis kantor /","P.T. (Perseroan Terbatas)
Siup: SIUP : NOMOR : 3164 / 1. 824. 221 / 0509
NPWP: 02.188.510.8-086.000"
18,"*ABADI KREASI GEMILANG PT*
Jl. duri kosambi raya no.68
Kec. cengkareng
Jakarta Barat -
Ph:021 5418509 / Fax: / Hp:","Usaha Menengah (Perdagangan) 
Sub. distributor barang elektronik, alat teknik /","P.T. (Perseroan Terbatas)
Siup: SIUP NOMOR : 00156 - 03 / PK / 1.824.271
NPWP:"
19,"*ABADI LAJU SEJAHTERA, PT*
Jl. taman aries blok a 1 no.2 d
Kec. kembangan
Jakarta Barat -
Ph:021 5891069 / Fax: / Hp:","Usaha Menengah (Perdagangan) 
Sub. distributor, ekspor - impor alat navigasi /","P.T. (Perseroan Terbatas)
Siup: DEPDAG SIUP ; NOMOR : 0210 / 1. 824. 221 / 0210
NPWP: 02.963.832.7-086.000"
20,"*ABADI MASTERINDO EKA NUSA , CV*
Komplek ruko taman cosmos blok c no.30 jakarta barat (11520)
Kec. kebon jeruk
Jakarta Barat -
Ph:021 32480665 / Fax: / Hp:","Usaha Kecil (Perdagangan) 
Barang cetakan, mesin-mesin dan â suku cadangnya,","CV (Commanditaire Vennotschaap)
Siup: NOMOR : /1. 824. 221/0209
NPWP: 02.751.277.1-039.000"
21,"*ABADI MEGAH SEJATI, PT*
Komplek perkantoran kencana niaga taman aries blok d 1 / 3
Kec. kembangan
Jakarta Barat -
Ph:021 5858877 / Fax:021 5858334 / Hp:","Usaha Menengah (Perdagangan) 
Sub. distributor hasil pertambangan (batu bara),","P.T. (Perseroan Terbatas)
Siup: SIUP : NOMOR : 0014 / 1. 824. 221 / 0110
NPWP: 02.485.083.6-086.000"
22,"*ABADI MITRATAMA, PT*
Jl. ee no.41 , rt.005/004
Kec. cengkareng
Jakarta Barat -
Ph:021 54370921 / Fax: / Hp:","Usaha Kecil (Perdagangan) 
Sub. distributor. elektrikal / mekanikal / telekom","Siup: SIUP : NOMOR : 5036 / 1. 824. 221 / 0809
NPWP: 02.589.712.5-034.000"
23,"*ABADI MOTOR, PT*
Jl. palmerah utara no.6 jakarta barat (11480)

Jakarta Barat -
Ph:021 5890422 / Fax: / Hp:","Usaha Kecil () 
Penjualan sepeda motor","Siup: KOTA JAKARTA BARAT/TATI BUDIARTI, SE, MM(NIP. 0700
NPWP: 02.899.724.5-031.000"
24,"*ABADI MULYA KENCANA , CV*
Jl. sulaeman no.2 a , rt.002/003 jakarta barat (11540)
Kec. kebon jeruk
Jakarta Barat -
Ph:021 70622198 / Fax: / Hp:","Usaha Kecil (Perdagangan) 
Alat tulis kantor / barang cetakan, alat teknik /","CV (Commanditaire Vennotschaap)
Siup: NOMOR : 4567 / 1. 824. 221 / 0609
NPWP: 02.745.368.7-035.000"
25,"*ABADI SUMBER REJEKI, PT*
Jl. tanjung duren raya no.542 , rt.001/005
Kec. grogol petamburan
Jakarta Barat -
Ph:021 56969999 / Fax:021 30045858 / Hp:","Usaha Menengah (Perdagangan) 
Sub. distributor hasil petambangan (batu bara),","P.T. (Perseroan Terbatas)
Siup: SIUP ; NOMOR : 0445 / 1. 824. 221 / 0310
NPWP: 31.161.579.3-036.000"
26,"*ABADI ADAM, CV*  
jl. raya ciracas no. 23 rt. 004/003 kel. ciracas kec. ciracas jakarta timur 
13740
Kec. ciracas
Jakarta Timur -
Ph:(021) 8707601 / Fax:(021) 8707601 / Hp:","Usaha Kecil (Perdagangan) 
Perdagangan alat tulis kantor, barang cetakan, per","CV (Commanditaire Vennotschaap)
Siup: DEP.PERINDAG (SIUP) NOMOR : 5857/13 1.824
NPWP: 03.079.002.6-009.000"
27,"*ABADI GUNA, CV*
Jl. cemara no. 8 rt. 002/07 kel. kayu putih kec. pulogadung jakarta timur 
13210
Kec. pulo gadung
Jakarta Timur -
Ph:021-91678620 / Fax:021-91678620 / Hp:","Usaha Kecil (Perdagangan) 
Perdagangan alat tulis kantor / mekanikal, elektri","CV (Commanditaire Vennotschaap)
Siup: DEP.PERINDAG (SIUP) NOMOR : 2226/13 1.824
NPWP: 02.703.073.3-003.000"
28,"*ABADI JAYA ALUMINIUM, PT*
Jl. raya kalimalang no. c. 6 rt. 007/012 kel. pondok bambu kec. duren sawit 
jakarta timur 13430
Kec. duren sawit
Jakarta Timur -
Ph:(021) 8613975 / Fax:(021) 8613975 / Hp:","Usaha Menengah (Perdagangan) 
Perdagangan alat mekanikal, elektrikal/ furniture/","P.T. (Perseroan Terbatas)
Siup: DEP.PERINDAG (SIUP) NOMOR : 3392/13 1.824
NPWP: 03.014.745.8-008.000"
29,"*ABADI JAYA, UD*
Jl. pos duri los 11 rt. 017/06
Kec. gambir
Jakarta Pusat -
Ph:021-63865582 / Fax:021-63865582 / Hp:","Usaha Mikro (Kerajinan) 
Pengrajin kusen","PERORANGAN
Siup:
NPWP:"
30,"*ABADI KREASI UTAMA PT*
Citra i blok i. 5 no.7
Kec. kalideres
Jakarta Barat -
Ph:021 5404426 / Fax: / Hp:","Usaha Menengah (Jasa) 
Jasa konsultan manajemen bidang sumber daya manusi","Siup: DEPDAG SIUP : NOMOR : 3111 /1. 824. 221/0509
NPWP: 02.750.384.6-085.000"
31,"*ABADI MAKMUR INTERNATIONAL, PT*
Jl. k.h. m. mansyur no.23 , rt.002/002
Kec. tambora
Jakarta Barat -
Ph:021 68843477 / Fax: / Hp:","Usaha Kecil (Perdagangan) 
Sub. distributor bahan baku makanan dan minuman,","P.T. (Perseroan Terbatas)
Siup: SIUP ; NOMOR : 00257 - 03 / PK / 1.824.271
NPWP:"
32,"*ABADI PHOTO SUTISNA*
Jl satu maret

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
Photo studio dan cuci cetak","PERORANGAN
Siup:
NPWP:"
33,"*ABADI PUTRA SEJAHTERA, CV*
Jalan malaka i no. 7

Jakarta Utara -
Ph:448851378 / Fax: / Hp:","Usaha Kecil () 
Kerajinan tangan/kerajinan emas jangkauan pemasara","Siup: PERIZINAN : LENGKAP
NPWP:"
34,"*ABADI SERVICE*
Jl tanjung duren raya no 8

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
Service elktronik","PERORANGAN
Siup:
NPWP:"
35,"*ABADI SETIA PRIMA, PT*
Jl. cipinang muara no. 267 rt. 010/001 kel. cipinang muara kec. jatinegara 
jakarta timur 13420
Kec. jatinegara
Jakarta Timur -
Ph:(021) 63850823 / Fax:(021) 63861660 / Hp:","Usaha Kecil (Perdagangan) 
Perdagangan alat mekanikal, elektrikal/ alat telek","P.T. (Perseroan Terbatas)
Siup: DEP.PERINDAG (SIUP) NOMOR : 00869-05/PK/P1/
NPWP:"
36,"*ABADI SURYA, UD*
Jl. pos duri rt. 017/05 kel. duri pulo
Kec. gambir
Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Mikro (Kerajinan) 
Pengrajin kusen","PERORANGAN
Siup:
NPWP:"
37,"*ABADI, CV*
Ps. perumnas klender blos b.iii / 83 kel. malaka sari kec. duren sawit 
jakarta timur 13460
Kec. duren sawit
Jakarta Timur -
Ph:(021) 96866699 / Fax:(021) 96866699 / Hp:","Usaha Kecil (Perdagangan) 
Perdagangan kebutuhan pokok sehari â hari (bukan r","CV (Commanditaire Vennotschaap)
Siup: DEP.PERINDAG (SIUP) NOMOR : 3890/13 1.824
NPWP: 02.901.137.6-008.000"
38,"*ABAY CELLULAR*
Jl bangka 2 no 40

Jakarta Selatan -
Ph:70667433 / Fax: / Hp:","Usaha Mikro (Perdagangan) 
Dagang voucher hp","PERORANGAN
Siup:
NPWP:"
39,"*ABBATRENT ENGINEERING, PT*
Jl. rawamangun muka iv rt. 011/014 kel. rawamangun kec. pulogadung jakarta 
timur 13220
Kec. pulo gadung
Jakarta Timur -
Ph:(021) 85913272 / Fax:(021) 85913272 / Hp:","Usaha Menengah (Jasa) 
Alat konstruksi / alat mekanikal, elektrikal","P.T. (Perseroan Terbatas)
Siup: DEP.PERINDAG (SIUP) NOMOR : 2221/P/13 1.8
NPWP: 02.245.883.0-003.000"
40,"*ABDI PERDANA EXPRESS, PT*
Komplek pertambangan i no.35 , rt.004/005
Kec. kebon jeruk
Jakarta Barat -
Ph:021 5363721 / Fax:021 5363721 / Hp:","Usaha Menengah (Jasa) 
Jasa penunjang angkutan lainnya (penanganan -cargo","P.T. (Perseroan Terbatas)
Siup: SIUP : NOMOR : 00302 - 03 / PK / 1.824.271
NPWP:"
41,"*ABDI AGUNG PATRIA UTAMA, PT*  
Jl. jend. a. yani no. 41 rt. 004/04 kel. utan kayu selatan kec. matraman 
jakarta timur 13120
Kec. matraman
Jakarta Timur -
Ph:(021) 8507169 / 8563336 / Fax:(021) 8507169 / 8563336 / Hp:","Usaha Menengah (Perdagangan) 
Perdagangan perabot rumah tangga/ barang cetakan/","P.T. (Perseroan Terbatas)
Siup: DEP.PERINDAG (SIUP) NOMOR : 4433/P/13 1.8
NPWP: 01.393.292.6-001.000"
42,"*ABDI KARYA MULIA, CV*
Jl. raya tengah no. 39 rt. 003/012 kel. gedong kec. pasar rebo jakarta 
timur 13760
Kec. pasar rebo
Jakarta Timur -
Ph:(021) 32423003 / Fax:(021) 32423003 / Hp:","Usaha Kecil (Perdagangan) 
Perdagangan alat tulis kantor, barang cetakan, per","CV (Commanditaire Vennotschaap)
Siup: DEP.PERINDAG (SIUP) NOMOR : 4852/13 1.824
NPWP: 01.867.536.3-009.000"
43,"*ABDI KARYA SEJATI, PD*
Jl. p. tubagus angke no. 170 ruko permata kota blok g no. 05 rt 010/001
Kec. penjaringan
Jakarta Utara -
Ph:021 66696536 / Fax:021 66696536 / Hp:","Usaha Kecil (Perdagangan) 
Eceran barang elektronik","PERORANGAN
Siup: SUDIN KOP. UMKM DAN PERDAGANGAN JAKUT
NPWP: 58.519.280.0-041.000"
44,"*ABDI MOTOR*
Pasar inpres duren sawit

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
Jasa servicekaca spion","PERORANGAN
Siup:
NPWP:"
45,"*ABDI PUTRA PERSADA, CV*  
Jl. pertengahan no. 28 rt. 003/07 kel. cijantung kec. pasar rebo jakarta 
timur 13770
Kec. pasar rebo
Jakarta Timur -
Ph:(021) 87798483 / Fax:(021) 87798483 / Hp:","Usaha Kecil (Perdagangan) 
Perdagangan alat tulis kantor, barang cetakan/ per","CV (Commanditaire Vennotschaap)
Siup: DEP.PERINDAG (SIUP) NOMOR : 5710/P/13 1.8
NPWP: 02.463.714.2-009.000"
46,"*ABDI ZAHARA INDONESIA, PT*
Jl. persada i no.7a rt.004/05 menteng dalam
Kec. setiabudi
Jakarta Selatan -
Ph:8307864 / Fax: / Hp:","Usaha Menengah (Jasa / Produksi Lainnya) 
Perdagangan besar lainnya","P.T. (Perseroan Terbatas)
Siup: DEP. PERINDAG: SIUP NO. 000420/1.824.51
NPWP: 21,459,458,0,15"
47,"*ABDILLAH KARYA*
Jl swadarma raya

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Perdagangan) 
Dagang kusen, jendela, pintu dan daun pintu","PERORANGAN
Siup:
NPWP:"
48,"*ABDU ICA ALIA, CV*
Jl.lodan raya no.2 komp.lodan center
Kec. pademangan
Jakarta Utara -
Ph:6919609 / Fax: / Hp:","Usaha Kecil (Perdagangan) 
(51410) perdagangan besar bahan bakar gas, cair da","CV (Commanditaire Vennotschaap)
Siup: SUDIN KOP. UMKM DAN PERDAGANGAN JAKUT NOMOR 1178/1
NPWP: 02,617,127,2-044,000"
49,"*ABDUL WAHAB*  
Jl kramat pulo rt. 08/06 kel. kramat
Kec. senen
Jakarta Pusat -
Ph:021-31900288 / Fax:021-31900288 / Hp:","Usaha Mikro (Home Industri) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
50,"*ABDULLAH CAHYA MANDIRI , CV*  
Jl. kota bambu utara i no.2 , rt.008/003 jakarta barat 11420
Kec. palmerah
Jakarta Barat -
Ph:021 5661092 / Fax: / Hp:","Usaha Kecil (Perdagangan) 
Pakaian jadi / tekstil, furniture","CV (Commanditaire Vennotschaap)
Siup: NOMOR : 00013 - 03 / PK / P / 1.824.271
NPWP:"
51,"*ABDUSSYAKUR, PD*
Kp.sukapura no.107 rt.004/004
Kec. cilincing
Jakarta Utara -
Ph:98172392 / Fax:98172392 / Hp:","Usaha Kecil (Perdagangan) 
(52112) perdagangan eceran berbagai macam barang y","PERORANGAN
Siup: SUDIN KOP, UMKM DAN PERDAGANGAN JAKUT NOMOR 1077/1
NPWP: 24.010.115.4-045.000"
52,"*ABEL GLOBAL INTERNATIONAL, PT*  
Daan mogot baru jl. tampak siring blok kjd no.12-a 14
Kec. kalideres
Jakarta Barat -
Ph:021 5448505 / Fax: / Hp:","Usaha Menengah (Perdagangan) 
Sub. distributor alat tehnik / mekanikal / ele","P.T. (Perseroan Terbatas)
Siup: SIUP : NOMOR : /1. 824. 221/020
NPWP: 01.806.557.3-085.000"
53,"*ABHIMATA MANUNGGAL, PT*  
Jl. perniagaan timur no.27 , rt.005/001
Kec. tambora
Jakarta Barat -
Ph:021 6912049 / Fax:021 6928159 / Hp:","Usaha Menengah (Perdagangan) 
Penyalur, ekspor - impor : elektronik, alat keseh","P.T. (Perseroan Terbatas)
Siup: SIUP : NOMOR : 3231 / 1. 824. 221 / 0609
NPWP: 01.871.024.4-038.000"
54,"*ABHIMATA ANUGRAH ABADI, PT*  
Menara batavia lt.5 jl.kh.mas mansyur kav.126
Kec. tanah abang
Jakarta Pusat -
Ph:021-57930190 / Fax:021-57930190 / Hp:","Usaha Kecil (Perdagangan) 
Mesin - mesin, suku cadang dan perlengkapannya","P.T. (Perseroan Terbatas)
Siup: DEP.PERINDAG
NPWP: 02.930.324.5.022.000"
55,"*ABHISTA ADLIYAN, PT*  
Jl. kelapa dua raya no.3 b , rt.002/001
Kec. kebon jeruk
Jakarta Barat -
Ph:021 70776882 / Fax: / Hp:","Usaha Kecil (Jasa / Produksi Lainnya) 
Alat tulis kantor / perlengkapan kantor, - kompu","P.T. (Perseroan Terbatas)
Siup: SIUP : NOMOR : /1. 824. 221/03
NPWP: 02.341.900.5-035.000"
56,"*ABHIYASA PRIMA, PT*
Jl. cempaka putih tengah ii no.1 c
Kec. cempaka putih
Jakarta Pusat -
Ph:4214051 / Fax:4216374 / Hp:","Usaha Kecil (Perdagangan) 
(51410)perdagangan besar bahan bakar gas, cair & p","P.T. (Perseroan Terbatas)
Siup: DEP.PERINDAG (SIUP) NO.04946/182451
NPWP: 02.458.789.1.024.000"
57,"*ABI MULTITAMA , CV*  
Jl. jelambar barat iii no.1 , rt.006/010 jakarta barat (11460)
Kec. grogol petamburan
Jakarta Barat -
Ph:021 68678681 / Fax: / Hp:","Usaha Kecil (Perdagangan) 
Obat jadi (tanpa resep dokter), alat tulis kantor,","CV (Commanditaire Vennotschaap)
Siup: NOMOR : 0492 / 1. 824. 221 / 0310
NPWP: 31.160.751.9-036.000"
58,"*ABIDANA MITRA MANDIRI, PT*
Jl. martaguna raya plaza 5 blok b-02 gandaria utara
Kec. kebayoran baru
Jakarta Selatan -
Ph:7246835 / Fax: / Hp:","Usaha Kecil (Perdagangan) 
Perdagangan besar mesin-mesin, suku cadang dan per","P.T. (Perseroan Terbatas)
Siup: DEP. PERINDAG: SIUP, NO.1245/0904/PM/XI/2002
NPWP: 18,407,560,1,9"
59,"*ABIF JAYA MANDIRI, CV*  
Jl. inpres no. 11 rt. 005/009 kel. tengah kec. kramat jati jakarta timur 
13540
Kec. kramat jati
Jakarta Timur -
Ph:(021) 8779178, 91037194 / Fax:(021) 8779178, 91037194 / Hp:","Usaha Kecil (Jasa) 
Jasa administrasi pengurusan dokumen","CV (Commanditaire Vennotschaap)
Siup: DEP.PERINDAG (SIUP) NOMOR : 4600/13 1.824
NPWP: 02.995.338.7-005.000"
60,"*ABIMANYU, PT*  
Jl. pagelarang no. 101 kel. setu kec. cipayung jakarta timur 13880
Kec. cipayung
Jakarta Timur -
Ph:(021) 84991323 / Fax: / Hp:","Usaha Menengah (Perdagangan) 
Perdagangan alat teknik, mekanikal, elektrikal, ko","P.T. (Perseroan Terbatas)
Siup: DEP.PERINDAG (SIUP) NOMOR : 00399-05/PM/1.8
NPWP:"
61,"*ABIR KREASI UTAMA, PT*  
Jl. balai rakyat no. 20 rt. 011/09 kel. klender kec. duren sawit jakarta 
timur 13470
Kec. duren sawit
Jakarta Timur -
Ph:021 86612748 / Fax:021 86612748 / Hp:","Usaha Menengah (Perdagangan) 
Perdagangan alat tulis kantor / alat mekanikal, el","P.T. (Perseroan Terbatas)
Siup: DEP.PERINDAG (SIUP) NOMOR : 3801/P/13 1.8
NPWP: 01.817.156.1-008.000"
62,"*ABIRAWA, PT*  
Jl. raya depnaker no. 80 rt. 018 rw. 001 kel. pinang ranti kec. makasar 
jakarta timur 13560
Kec. makassar
Jakarta Timur -
Ph:(021) 80874500 / Fax: / Hp:","Usaha Menengah (Perdagangan) 
Perdagangan hasil pertambangan padat dan cair","P.T. (Perseroan Terbatas)
Siup: DEP.PERINDAG (SIUP) NOMOR : 00946-05/PK/P1/
NPWP: 02.463.800.9-005.000"
63,"*ABISIS, PT*  
Perkantoran tomang tol raya, blok a 1 no.50 lantai 1
Kec. kebon jeruk
Jakarta Barat -
Ph:021 5802035 / Fax: / Hp:","(Jasa / Produksi Lainnya) 
Alat tehnik / mekanikal / elektrikal / -telekomuni","P.T. (Perseroan Terbatas)
Siup: SIUP : NOMOR : /1. 824. 221/020
NPWP: 02.751.290.4-039.000"
64,"*ABITRACO MANDIRI, PT*  
Jl. bhineka i no. 33 rt. 007/009 kel. cipinang cempedak kec. jatinegara 
jakarta timur 13340
Kec. jatinegara
Jakarta Timur -
Ph:(021) 8198377 / Fax:(021) 8520330 / Hp:","Usaha Kecil (Perdagangan) 
Perdagangan tas kulit, pakaian jadi (bukan produks","P.T. (Perseroan Terbatas)
Siup: DEP.PERINDAG (SIUP) NOMOR : 00385-05/MK/P1/
NPWP:"
65,"*ABIYA JAYA ABADI , CV*  
Jl. tanjung duren utara i no.20 jakarta barat (11470)
Kec. grogol petamburan
Jakarta Barat -
Ph:021 5630196 / Fax: / Hp:","Usaha Kecil (Perdagangan) 
Alat teknik / mekanikal / elektrikal dan suku âcad","CV (Commanditaire Vennotschaap)
Siup: NOMOR : 0643 / 1. 824. 221 / 0410
NPWP: 31.171.356.4-036.000"
66,"*ABNA\'USSABIL INTERNATIONAL, PT*

Kec. cakung
Jakarta Timur -
Ph:(021) 46827893 / Fax:(021) 46827481 / Hp:","Usaha Menengah (Perdagangan) 
Perdagangan alat tulis kantor, barang cetakan/ ala","P.T. (Perseroan Terbatas)
Siup: DEP.PERINDAG (SIUP) NOMOR : 00023-05/PM/1.8
NPWP:"
67,"*ABROORO HAYA, PT*
Jl. tipar no. 20 a rt. 007/07 kel. pekayon kec. pasar rebo jakarta timur 
13710
Kec. pasar rebo
Jakarta Timur -
Ph:021 87711244 / Fax:021 87711244 / Hp:","Usaha Menengah (Perdagangan) 
Perdagangan alat konstruksi / perabot rumah tangga","P.T. (Perseroan Terbatas)
Siup: DEP.PERINDAG (SIUP) NOMOR : 1751/13 1.824
NPWP: 02.613.471.8-009.000"
68,"*ABSOLUT TIGA SELARAS, PT*  
Jl. raya duri kosambi no.50 , rt.006/001
Kec. cengkareng
Jakarta Barat -
Ph:021 50390801 / Fax: / Hp:","Usaha Menengah (Jasa / Produksi Lainnya) 
Supply komputer, jasa konsultasi bisnis dan manaje","P.T. (Perseroan Terbatas)
Siup: SIUP : NOMOR : 00439 - 03 / PK / 1.824.271
NPWP:"
69,"*ABY PERSADA TECHNIKATAMA, PT*  
Jl. cipinang baru no. 36 rt. 009/01 kel. cipinang kec. pulogadung jakarta 
timur 13240
Kec. pulo gadung
Jakarta Timur -
Ph:(021) 47861175 / Fax:(021) 47861175 / Hp:","Usaha Kecil (Perdagangan) 
Perdagangan alat mekanikal, elektrikal,","P.T. (Perseroan Terbatas)
Siup: DEP.PERINDAG (SIUP) NOMOR : 3750/P/13 1.8
NPWP: 01.989.322.1-003.000"
70,"*ABYAN MANDIRI, CV*  
Jl. kayu manis timur no. 11 rt. 001/011 kel. utan kayu selatan kec. 
matraman jakarta timur 13120
Kec. matraman
Jakarta Timur -
Ph:(021) 8503631 / Fax: / Hp:","Usaha Kecil (Perdagangan) 
Perdagangan alat tulis kantor/ perabot rumah tangg","CV (Commanditaire Vennotschaap)
Siup: DEP.PERINDAG (SIUP) NOMOR : 01277-05/PK/1.8
NPWP:"
71,"*ABYTA PUTRA MAHESA, PT*  
Jl. raya jatinegara barat iv/ 15 rt. 003/003 kel. balimester kec. 
jatinegara jakarta timur 13310
Kec. jatinegara
Jakarta Timur -
Ph:(021) 85904028 / Fax: / Hp:","Usaha Kecil (Perdagangan) 
Perdagangan alat tulis kantor, barang cetakan","P.T. (Perseroan Terbatas)
Siup: DEP.PERINDAG (SIUP) NOMOR : 00905-05/PK/1.8
NPWP:"
