UrusanPemerintahan|Organisasi|Program|SubProgram|PendapatanBelanja|Tipe|SubTipe|Uraian|Jumlah
1.01|001|06|004|5|2||BELANJA LANGSUNG|5.531.670.541
1.01|001|06|004|5|2|2|BELANJA BARANG DAN JASA|105.121.500
1.01|001|06|004|5|2|3|BELANJA MODAL|5.426.549.041
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|005||||Penyelesaian Rehabilitasi Total Gedung SDN Tebet Barat 08|
1.01|001|06|005|5|2||BELANJA LANGSUNG|3.924.168.360
1.01|001|06|005|5|2|2|BELANJA BARANG DAN JASA|105.121.500
1.01|001|06|005|5|2|3|BELANJA MODAL|3.819.046.860
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|006||||Penyelesaian Rehabilitasi Total Gedung SDN Kalibata 07|
1.01|001|06|006|5|2||BELANJA LANGSUNG|4.061.723.247
1.01|001|06|006|5|2|2|BELANJA BARANG DAN JASA|105.121.500
1.01|001|06|006|5|2|3|BELANJA MODAL|3.956.601.747
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|007||||Penyelesaian Rehabilitasi Total Gedung SDN Jagakarsa 06|
1.01|001|06|007|5|2||BELANJA LANGSUNG|4.142.176.830
1.01|001|06|007|5|2|2|BELANJA BARANG DAN JASA|105.121.500
1.01|001|06|007|5|2|3|BELANJA MODAL|4.037.055.330
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|008||||Penyelesaian Rehabilitasi Total Gedung SDN Cilangkap 01|
1.01|001|06|008|5|2||BELANJA LANGSUNG|5.821.343.965
1.01|001|06|008|5|2|2|BELANJA BARANG DAN JASA|105.121.500
1.01|001|06|008|5|2|3|BELANJA MODAL|5.716.222.465
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|009||||Penyelesaian Rehabilitasi Total Gedung SDN Cijantung 05|
1.01|001|06|009|5|2||BELANJA LANGSUNG|12.011.391.271
1.01|001|06|009|5|2|2|BELANJA BARANG DAN JASA|250.178.500
1.01|001|06|009|5|2|3|BELANJA MODAL|11.761.212.771
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|010||||Penyelesaian Rehabilitasi Total Gedung SDN Pondok Bambu 14|
1.01|001|06|010|5|2||BELANJA LANGSUNG|9.030.134.891
1.01|001|06|010|5|2|2|BELANJA BARANG DAN JASA|150.826.500
1.01|001|06|010|5|2|3|BELANJA MODAL|8.879.308.391
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|011||||Penyelesaian Rehabilitasi Total Gedung SDN Pasar Baru 07/09/10|
1.01|001|06|011|5|2||BELANJA LANGSUNG|753.999.801
1.01|001|06|011|5|2|2|BELANJA BARANG DAN JASA|18.315.000
1.01|001|06|011|5|2|3|BELANJA MODAL|735.684.801
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|012||||Penyelesaian Rehabilitasi Total Gedung SDN Kalisari 01|
1.01|001|06|012|5|2||BELANJA LANGSUNG|749.907.081
1.01|001|06|012|5|2|2|BELANJA BARANG DAN JASA|79.425.500
1.01|001|06|012|5|2|3|BELANJA MODAL|670.481.581
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|013||||Penyelesaian Rehabilitasi Total Gedung SDN Duri Kepa 01/10|
1.01|001|06|013|5|2||BELANJA LANGSUNG|15.005.627.294
1.01|001|06|013|5|2|2|BELANJA BARANG DAN JASA|300.399.000
1.01|001|06|013|5|2|3|BELANJA MODAL|14.705.228.294
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|014||||Penyelesaian Rehabilitasi Total Gedung SDN Rawajati 06|
1.01|001|06|014|5|2||BELANJA LANGSUNG|9.632.947.239
1.01|001|06|014|5|2|2|BELANJA BARANG DAN JASA|200.739.000
1.01|001|06|014|5|2|3|BELANJA MODAL|9.432.208.239
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|015||||Penyelesaian Rehabilitasi Total Gedung SDN Lagoa 07/08|
1.01|001|06|015|5|2||BELANJA LANGSUNG|8.591.805.454
1.01|001|06|015|5|2|2|BELANJA BARANG DAN JASA|150.628.500
1.01|001|06|015|5|2|3|BELANJA MODAL|8.441.176.954
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|016||||Penyelesaian Rehabilitasi Total Gedung SDN Kramat Jati 27|
1.01|001|06|016|5|2||BELANJA LANGSUNG|12.030.733.020
1.01|001|06|016|5|2|2|BELANJA BARANG DAN JASA|250.178.500
1.01|001|06|016|5|2|3|BELANJA MODAL|11.780.554.520
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|017||||Penyelesaian rehabilitasi total gedung SDN Baru 02|
1.01|001|06|017|5|2||BELANJA LANGSUNG|10.139.495.657
1.01|001|06|017|5|2|2|BELANJA BARANG DAN JASA|200.739.000
1.01|001|06|017|5|2|3|BELANJA MODAL|9.938.756.657
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|018||||Penyelesaian rehabilitasi total gedung SDN Petukangan Selatan 04/05|
1.01|001|06|018|5|2||BELANJA LANGSUNG|15.441.894.040
1.01|001|06|018|5|2|2|BELANJA BARANG DAN JASA|300.399.000
1.01|001|06|018|5|2|3|BELANJA MODAL|15.141.495.040
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|019||||Penyelesaian rehabilitasi total gedung SDN Tegal Alur 06/21|
1.01|001|06|019|5|2||BELANJA LANGSUNG|6.456.083.465
1.01|001|06|019|5|2|2|BELANJA BARANG DAN JASA|150.826.500
1.01|001|06|019|5|2|3|BELANJA MODAL|6.305.256.965
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|020||||Penyelesaian rehabilitasi total gedung SDN Tegal Alur 07|
1.01|001|06|020|5|2||BELANJA LANGSUNG|8.473.287.376
1.01|001|06|020|5|2|2|BELANJA BARANG DAN JASA|150.826.500
1.01|001|06|020|5|2|3|BELANJA MODAL|8.322.460.876
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|021||||Penyelesaian rehabilitasi total gedung SDN Sukabumi Utara 07|
1.01|001|06|021|5|2||BELANJA LANGSUNG|9.463.110.433
1.01|001|06|021|5|2|2|BELANJA BARANG DAN JASA|105.121.500
1.01|001|06|021|5|2|3|BELANJA MODAL|9.357.988.933
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|022||||Penyelesaian rehabilitasi total gedung SDN Balimester 06|
1.01|001|06|022|5|2||BELANJA LANGSUNG|9.849.992.596
1.01|001|06|022|5|2|2|BELANJA BARANG DAN JASA|200.739.000
1.01|001|06|022|5|2|3|BELANJA MODAL|9.649.253.596
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|024||||Penyelesaian rehabilitasi total gedung SDN Pejagalan 09/10|
1.01|001|06|024|5|2||BELANJA LANGSUNG|8.749.990.824
1.01|001|06|024|5|2|2|BELANJA BARANG DAN JASA|150.826.500
1.01|001|06|024|5|2|3|BELANJA MODAL|8.599.164.324
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|026||||Penyelesaian rehabilitasi total gedung SDN Petukangan Selatan 03/07|
1.01|001|06|026|5|2||BELANJA LANGSUNG|11.134.988.290
1.01|001|06|026|5|2|2|BELANJA BARANG DAN JASA|200.739.000
1.01|001|06|026|5|2|3|BELANJA MODAL|10.934.249.290
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|027||||Penyelesaian rehabilitasi total gedung SDN Pondok Kelapa 05|
1.01|001|06|027|5|2||BELANJA LANGSUNG|11.134.999.921
1.01|001|06|027|5|2|2|BELANJA BARANG DAN JASA|200.739.000
1.01|001|06|027|5|2|3|BELANJA MODAL|10.934.260.921
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|028||||Penyelesaian rehabilitasi total gedung SDN Rawabadak Selatan 07/08|
1.01|001|06|028|5|2||BELANJA LANGSUNG|8.849.995.817
1.01|001|06|028|5|2|2|BELANJA BARANG DAN JASA|200.739.000
1.01|001|06|028|5|2|3|BELANJA MODAL|8.649.256.817
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|029||||Penyelesaian rehabilitasi total gedung SDN Rawabadak Selatan 09/10|
1.01|001|06|029|5|2||BELANJA LANGSUNG|8.818.126.557
1.01|001|06|029|5|2|2|BELANJA BARANG DAN JASA|200.739.000
1.01|001|06|029|5|2|3|BELANJA MODAL|8.617.387.557
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|030||||Penyelesaian rehabilitasi total gedung SDN Serdang 07/09/11/12|
1.01|001|06|030|5|2||BELANJA LANGSUNG|13.249.899.936
1.01|001|06|030|5|2|2|BELANJA BARANG DAN JASA|250.178.500
1.01|001|06|030|5|2|3|BELANJA MODAL|12.999.721.436
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|031||||Penyelesaian rehabilitasi total gedung SDN SDN Sumur Batu 03|
1.01|001|06|031|5|2||BELANJA LANGSUNG|7.749.999.339
1.01|001|06|031|5|2|2|BELANJA BARANG DAN JASA|150.826.500
1.01|001|06|031|5|2|3|BELANJA MODAL|7.599.172.839
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|032||||Penyelesaian rehabilitasi total gedung SDN Penjaringan 09/10|
1.01|001|06|032|5|2||BELANJA LANGSUNG|9.030.125.000
1.01|001|06|032|5|2|2|BELANJA BARANG DAN JASA|200.739.000
1.01|001|06|032|5|2|3|BELANJA MODAL|8.829.386.000
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|033||||Penyelesaian rehabilitasi total gedung SDN Petukangan Utara 01/04|
1.01|001|06|033|5|2||BELANJA LANGSUNG|9.850.118.597
1.01|001|06|033|5|2|2|BELANJA BARANG DAN JASA|201.261.275
1.01|001|06|033|5|2|3|BELANJA MODAL|9.648.857.322
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|034||||Penyelesaian Sarana Penunjang SMKN Terpadu Bambu Apus|
1.01|001|06|034|5|2||BELANJA LANGSUNG|23.528.292.798
1.01|001|06|034|5|2|2|BELANJA BARANG DAN JASA|453.321.000
1.01|001|06|034|5|2|3|BELANJA MODAL|23.074.971.798
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|035||||Penyelesaian Rehabilitasi Total Gedung SMPN 125|
1.01|001|06|035|5|2||BELANJA LANGSUNG|14.699.131.374
1.01|001|06|035|5|2|2|BELANJA BARANG DAN JASA|300.399.000
1.01|001|06|035|5|2|3|BELANJA MODAL|14.398.732.374
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|036||||Penyelesaian rehabilitasi total gedung SMPN 241|
1.01|001|06|036|5|2||BELANJA LANGSUNG|1.599.999.998
1.01|001|06|036|5|2|2|BELANJA BARANG DAN JASA|41.712.000
1.01|001|06|036|5|2|3|BELANJA MODAL|1.558.287.998
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|037||||Penyelesaian Rehabilitasi Total Gedung SMPN 252|
1.01|001|06|037|5|2||BELANJA LANGSUNG|18.035.432.486
1.01|001|06|037|5|2|2|BELANJA BARANG DAN JASA|349.882.500
1.01|001|06|037|5|2|3|BELANJA MODAL|17.685.549.986
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|038||||Penyelesaian Rehabilitasi Total Gedung SMPN 108|
1.01|001|06|038|5|2||BELANJA LANGSUNG|16.308.852.026
1.01|001|06|038|5|2|2|BELANJA BARANG DAN JASA|300.399.000
1.01|001|06|038|5|2|3|BELANJA MODAL|16.008.453.026
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|039||||Penyelesaian rehabilitasi total gedung SMP 151|
1.01|001|06|039|5|2||BELANJA LANGSUNG|15.536.148.979
1.01|001|06|039|5|2|2|BELANJA BARANG DAN JASA|300.399.000
1.01|001|06|039|5|2|3|BELANJA MODAL|15.235.749.979
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|040||||Penyelesaian rehabilitasi total gedung SMP 235|
1.01|001|06|040|5|2||BELANJA LANGSUNG|1.496.418.118
1.01|001|06|040|5|2|2|BELANJA BARANG DAN JASA|38.808.000
1.01|001|06|040|5|2|3|BELANJA MODAL|1.457.610.118
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|041||||Penyelesaian rehabilitasi total gedung SMP 102|
1.01|001|06|041|5|2||BELANJA LANGSUNG|16.499.987.061
1.01|001|06|041|5|2|2|BELANJA BARANG DAN JASA|349.882.500
1.01|001|06|041|5|2|3|BELANJA MODAL|16.150.104.561
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|042||||Penyelesaian rehabilitasi total gedung SMP 282|
1.01|001|06|042|5|2||BELANJA LANGSUNG|16.199.998.945
1.01|001|06|042|5|2|2|BELANJA BARANG DAN JASA|300.399.000
1.01|001|06|042|5|2|3|BELANJA MODAL|15.899.599.945
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|043||||Penyelesaian rehabilitasi total gedung SMP 197|
1.01|001|06|043|5|2||BELANJA LANGSUNG|13.495.551.045
1.01|001|06|043|5|2|2|BELANJA BARANG DAN JASA|250.178.500
1.01|001|06|043|5|2|3|BELANJA MODAL|13.245.372.545
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|044||||Penyelesaian Rehabilitasi Total Gedung SMPN 238|
1.01|001|06|044|5|2||BELANJA LANGSUNG|9.413.457.424
1.01|001|06|044|5|2|2|BELANJA BARANG DAN JASA|200.739.000
1.01|001|06|044|5|2|3|BELANJA MODAL|9.212.718.424
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|045||||Penyelesaian Rehabilitasi Total Gedung SMPN 164|
1.01|001|06|045|5|2||BELANJA LANGSUNG|16.928.906.564
1.01|001|06|045|5|2|2|BELANJA BARANG DAN JASA|349.882.500
1.01|001|06|045|5|2|3|BELANJA MODAL|16.579.024.064
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|047||||Penyelesaian Rehabilitasi Total Gedung SMPN 171|
1.01|001|06|047|5|2||BELANJA LANGSUNG|3.597.770.369
1.01|001|06|047|5|2|2|BELANJA BARANG DAN JASA|105.121.500
1.01|001|06|047|5|2|3|BELANJA MODAL|3.492.648.869
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|048||||Penyelesaian Rehabilitasi Total Gedung SMPN 73|
1.01|001|06|048|5|2||BELANJA LANGSUNG|15.201.669.133
1.01|001|06|048|5|2|2|BELANJA BARANG DAN JASA|300.399.000
1.01|001|06|048|5|2|3|BELANJA MODAL|14.901.270.133
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|049||||Penyelesaian Rehabilitasi Total Gedung SMPN 112|
1.01|001|06|049|5|2||BELANJA LANGSUNG|10.269.447.451
1.01|001|06|049|5|2|2|BELANJA BARANG DAN JASA|200.739.000
1.01|001|06|049|5|2|3|BELANJA MODAL|10.068.708.451
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|052||||Penyelesaian Pembangunan Asrama SMK Negeri 61 Kepulauan Seribu|
1.01|001|06|052|5|2||BELANJA LANGSUNG|15.142.679.885
1.01|001|06|052|5|2|2|BELANJA BARANG DAN JASA|300.399.000
1.01|001|06|052|5|2|3|BELANJA MODAL|14.842.280.885
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|053||||Penyelesaian Pembangunan Sekolah Terpadu Rusun Marunda|
1.01|001|06|053|5|2||BELANJA LANGSUNG|10.732.099.541
1.01|001|06|053|5|2|2|BELANJA BARANG DAN JASA|196.098.000
1.01|001|06|053|5|2|3|BELANJA MODAL|10.536.001.541
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|054||||Penyelesaian Rehabilitasi Total Gedung SMAN 27|
1.01|001|06|054|5|2||BELANJA LANGSUNG|1.039.988.230
1.01|001|06|054|5|2|2|BELANJA BARANG DAN JASA|20.493.000
1.01|001|06|054|5|2|3|BELANJA MODAL|1.019.495.230
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|055||||Penyelesaian Rehabilitasi Total Gedung SMAN 55|
1.01|001|06|055|5|2||BELANJA LANGSUNG|18.682.057.939
1.01|001|06|055|5|2|2|BELANJA BARANG DAN JASA|349.882.500
1.01|001|06|055|5|2|3|BELANJA MODAL|18.332.175.439
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|056||||Penyelesaian Rehabilitasi Total Gedung SMKN 2|
1.01|001|06|056|5|2||BELANJA LANGSUNG|20.224.671.021
1.01|001|06|056|5|2|2|BELANJA BARANG DAN JASA|400.741.000
1.01|001|06|056|5|2|3|BELANJA MODAL|19.823.930.021
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|057||||Penyelesaian Rehabilitasi Total Gedung SMPN 143|
1.01|001|06|057|5|2||BELANJA LANGSUNG|749.999.874
1.01|001|06|057|5|2|2|BELANJA BARANG DAN JASA|18.315.000
1.01|001|06|057|5|2|3|BELANJA MODAL|731.684.874
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|059||||Penyelesaian Rehabilitasi Total Gedung Kantor Puslatdikjur Jakarta Timur|
1.01|001|06|059|5|2||BELANJA LANGSUNG|24.822.331.553
1.01|001|06|059|5|2|2|BELANJA BARANG DAN JASA|453.321.000
1.01|001|06|059|5|2|3|BELANJA MODAL|24.369.010.553
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|060||||Pemeliharaan Sarana dan Prasarana Pendidikan|
1.01|001|06|060|5|2||BELANJA LANGSUNG|749.843.512
1.01|001|06|060|5|2|2|BELANJA BARANG DAN JASA|620.940.583
1.01|001|06|060|5|2|3|BELANJA MODAL|128.902.929
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|062||||Pembuatan DED Pembangunan SMK Teknologi/Pariwisata Jakarta Timur|
1.01|001|06|062|5|2||BELANJA LANGSUNG|449.996.140
1.01|001|06|062|5|2|2|BELANJA BARANG DAN JASA|449.996.140
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|063||||Pembuatan DED Pembangunan SMK Kesehatan Jakarta Selatan|
1.01|001|06|063|5|2||BELANJA LANGSUNG|449.996.140
1.01|001|06|063|5|2|2|BELANJA BARANG DAN JASA|449.996.140
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|064||||Pembuatan DED Pembangunan SMK Multimedia Jakarta Selatan|
1.01|001|06|064|5|2||BELANJA LANGSUNG|449.996.140
1.01|001|06|064|5|2|2|BELANJA BARANG DAN JASA|449.996.140
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|065||||Pembuatan DED Pembangunan SMK Seni Kriya Jakarta Selatan|
1.01|001|06|065|5|2||BELANJA LANGSUNG|449.996.140
1.01|001|06|065|5|2|2|BELANJA BARANG DAN JASA|449.996.140
1.01|001|06|||||Program Peningkatan Sarana dan Prasarana Pendidikan|
1.01|001|06|066||||Pembuatan DED Pembangunan SLBN 3 Jakarta Pusat|
1.01|001|06|066|5|2||BELANJA LANGSUNG|274.999.890
1.01|001|06|066|5|2|2|BELANJA BARANG DAN JASA|274.999.890
